No.,Company Name,Website,City / Location (Gujarat),Segment,What They Make,Revenue Band (FY25 Verified),Decision Maker,DM Title,DM Background,E1 Producer (PASS/FAIL + Evidence),E2 Accessible (PASS/FAIL + Evidence),C3 Score (/20) + Evidence,C4 Score (/15) + Evidence,C5 Score (/15) + Evidence,C6 Score (/15) + Evidence,C7 Score (/20) + Evidence,C8 Score (/15) + Evidence,Federer Total (/100),Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources,QA Required?
11,Narmada Chematur Petrochemicals,ncplindia.com,"Bharuch, Gujarat",Custom Synthesis — Specialty Petrochemicals,TDI (Toluene Diisocyanate) — India's sole manufacturer. Specialty isocyanates for polyurethane foam/coatings/adhesives.,Rs.100–300 Cr (est. ~Rs.200 Cr — unlisted JV; financials via MCA),"Promoter JV group (Indian promoters + Chematur Engineering AB, Sweden)",CMD (JV-led),JV between Indian promoters and Chematur Engineering (Swedish). Technical knowledge embedded in JV. Specific Indian promoter DM not easily identifiable from public sources — critical QA item.,PASS — Plant at Bharuch GIDC. Sole Indian phosgene-based TDI manufacturing facility.,PASS — Bharuch Gujarat — plant and registered presence.,20 — ONLY Indian manufacturer of TDI (Toluene Diisocyanate). Extreme entry barrier: phosgene chemistry + environmental clearances + specialised technology + safety regulations. Monopoly position in a critical polyurethane input.,8 — JV structure with Swedish technical partner. Technical knowledge in JV design. Indian promoter side not easily verifiable. Moderate by default — JV implies technical capability but founder-owner conviction uncertain.,15 — TDI for polyurethane: construction/furniture/auto foam demand growing. China+1. India Make-in-India for construction sector.,8 — Revenue ~Rs.200 Cr. 1 signal (Facility — existing plant) confirmed. Single-product manufacturer with limited growth visibility from public data.,10 — Phosgene/isocyanate chemistry mandates rigorous safety management systems (GHS/ADR compliance required legally). Quality systems structurally mandatory. Not ERP-confirmed explicitly.,0 — JV structure. No visible succession or family gen-2 dynamics. Professional management.,61,B — Probable Federer,"BORDERLINE (Strong C3, DM Unclear)",India's only TDI manufacturer is a very strong C3 score. But JV structure means the Indian DM is unclear from public sources. Recommend human QA before including — verify who the operational decision-maker is and whether they have capability-building orientation.,India's only manufacturer of TDI (Toluene Diisocyanate) — sole domestic supplier of a critical polyurethane input from its Bharuch plant.,ncplindia.com; MCA filings; chemical sector reports; company website,Yes — verify DM identity and decision-making authority (JV structure)
12,Satyam Pharma Chem,satyampharma.com,"Ankleshwar, Gujarat",Custom Synthesis — Pharma Intermediates,API intermediates and specialty chemical synthesis for pharma export customers. GMP-certified. Ankleshwar GIDC.,Rs.50–100 Cr (est. — unlisted),Promoter family,MD,Pharma background. GMP-certified operations imply some technical grounding. Limited public information available.,PASS — Ankleshwar GIDC plant. GMP-certified manufacturing.,PASS — Ankleshwar Gujarat.,15 — GMP-certified pharma intermediate manufacturer — some regulatory differentiation. No USFDA-level moat confirmed but GMP is a meaningful step above commodity synthesis.,8 — Implied technical background from GMP pharma operations. Not verifiable from public sources.,15 — Pharma intermediates tailwind. Ankleshwar cluster presence for agrochem/pharma supply chains.,0 — No public growth signals confirmed. Unlisted with minimal public data.,10 — GMP certification implies SOPs and documented quality systems — this is a meaningful C7 signal even without explicit ERP confirmation.,0 — No succession data available.,48,C — Borderline,"BORDERLINE (GMP+, Evidence Thin)","GMP certification is a positive C3 and C7 signal. But no USFDA, no BSE listing, very limited public data for any criterion. Borderline — human QA required to verify revenue, DM background, and growth signals before including.",GMP-certified specialty pharma intermediate manufacturer in Ankleshwar — supplying export customers from Asia's largest chemical industrial estate.,satyampharma.com; GIDC cluster research; limited public data available,"Yes — verify revenue + evidence depth (GMP positive, but sources thin)"
13,Bodal Chemicals,bodalchemicals.com,"Ahmedabad, Gujarat",Performance Chemicals — Dyes & Intermediates,"H-acid, vinyl sulphone, reactive dyes, sulpho acids. One of India's largest dye intermediate manufacturers.",Rs.300–500 Cr (~Rs.450 Cr FY24 — revenue declining FY25),Suresh Patel,CMD,Commerce background. 30+ years in textile chemicals. Operator-founder archetype without technical credentials.,PASS — Manufacturing plants at Vatva GIDC Ahmedabad and Dahej.,PASS — HQ and primary manufacturing in Ahmedabad.,"10 — Large producer of H-acid and vinyl sulphone but bulk commodity intermediates. Direct price competition from China. No patents, no DSIR, no USFDA.",8 — Commerce background. Non-technical operator with large-scale production. Limited evidence of structured digital operations.,8 — Textile chemicals: moderate China+1. Some reactive dye export demand. Sector commoditised and under pricing pressure.,0 — Revenue declining FY25 below FY24. No new capacity or expansion announced. 0 of 5 growth signals met.,0 — No confirmed ERP/SAP. No IT roles visible on LinkedIn. No evidence of structured digital systems.,0 — Suresh Patel is single dominant figure. No visible gen-2 or professional management layer.,26,D — Not ICP,FAIL (Commodity + No Systems + Revenue Declining),"Fails C3 (commodity H-acid/VS with no moat), C6 (declining revenue — 0 signals), C7 (zero systems evidence), C8 (no succession). Revenue qualifies but profile does not. Commodity nature means every criterion DT cares about is weak or absent.",—,bodalchemicals.com; BSE filings FY24-25; screener.in,No
14,Bhageria Industries,bhageria.com,"Ahmedabad, Gujarat",Performance Chemicals — Dyes & Intermediates,"H-acid, vinyl sulphone, reactive dye intermediates, sulphuric acid. Non-core solar IPP business.",Rs.100–300 Cr,Arun Bhageria,CMD,Commerce background. Solar IPP entry signals opportunistic diversification rather than focused operational development.,PASS — Manufacturing plant at Vatva GIDC Ahmedabad.,PASS — HQ and plant in Ahmedabad.,"0 — H-acid and vinyl sulphone are bulk commodity intermediates. No patents, no DSIR, no USFDA. Direct Chinese price competition. Zero differentiation evidence.",0 — Commerce background with zero systems thinking evidence. No ERP. Solar IPP entry further dilutes focus.,8 — Dye intermediates: moderate China+1 tailwind only.,0 — Revenue declining FY24-25. No facility expansion. 0 of 5 growth signals met.,0 — No ERP/SAP. No IT roles. Basic statutory compliance only.,0 — Family-run by Arun Bhageria alone. No gen-2 visible. No professional senior management.,8,D — Not ICP,FAIL (Commodity Dyes — No Moat),"Fails on all criteria: C3 (bulk commodity, no moat), C4 (non-technical, non-systems), C6 (declining revenue), C7 (zero systems), C8 (no succession). Solar IPP entry signals distraction. Clear rejection.",—,bhageria.com; BSE annual report FY25; screener.in,No
15,Paushak Limited,paushak.com,"Vadodara, Gujarat",Custom Synthesis — Phosgene-Based Specialty Chemicals,"India's largest phosgene-based specialty chemicals manufacturer. Chloroformates, isocyanates, carbamoyl chlorides, acid chlorides, carbonates, carbamates. 14400 MT/year phosgene capacity.",Rs.100–300 Cr (~Rs.150 Cr FY25 — growth only 2.3%),Abhijit Joshi,MD & CEO,Professional manager — NOT founding family. Alembic Group (Chirayu/Malika/Udit Amin) is promoter. Paushak is a subsidiary of Alembic Limited. Chirayu Amin non-operating board member.,PASS — Manufacturing at Padra (Vadodara district). Phosgene-based derivatives plants. Responsible Care certified.,PASS — Vadodara Gujarat.,"20 — India's largest phosgene-based specialty chemicals manufacturer (14400 MT/year, recently tripled). CDMO capabilities. Responsible Care certified. Very strong C3.",8 — Professional manager without founding stake. Alembic Group (non-operating parent) owns the company. Key C4 and C8 disqualifier for Federer ICP.,15 — Phosgene derivatives for pharma/agrochem. China+1 — hazardous chemistry expertise scarce globally.,8 — FY25 revenue growth only 2.3% — weak year. Tripled phosgene capacity is positive. 1 signal (Facility/Certification) met.,10 — Alembic Group ownership implies structured governance. Safety management for phosgene handling structurally mandatory. Responsible Care certification confirmed.,8 — Alembic family at board level but non-operational. Professional CEO as MD. Some layer but no founder-building-capability dynamic.,61,C — Borderline,FAIL (Subsidiary — Structural Disqualifier),"Strong C3 (India's largest phosgene manufacturer) but fails the Federer test on two structural grounds: (1) subsidiary of Alembic Group — not an independent promoter-driven company; (2) professional manager CEO without founding conviction. DT requires a founder building capability, not a group subsidiary managed by a hired MD.",—,paushak.com; BSE filings; screener.in; Alembic Annual Report,No
16,AksharChem (India),aksharchem.com,"Himmatnagar, Gujarat",Performance Chemicals — Dyes,Vinyl sulphone reactive dyes. H-acid derivatives. Textile dye chemicals.,Rs.100–300 Cr (~Rs.150 Cr FY25 — revenue declining),Kantilal N Patel,CMD,Promoter-family. Commerce background. Veteran textile chemicals operator.,PASS — Manufacturing plant at Himmatnagar Gujarat GIDC.,PASS — Himmatnagar Gujarat.,0 — Vinyl sulphone and H-acid are bulk commodity dye intermediates. Direct price competition from China. No differentiation. No patents. No DSIR.,0 — Commerce background. No systems thinking evidence. No ERP.,8 — Textile chemicals China+1 tailwind is moderate only.,0 — Revenue declining FY24-25. 0 of 5 growth signals met.,0 — No ERP evidence. No IT roles visible.,0 — Solo promoter. No gen-2 visible.,8,D — Not ICP,FAIL (Commodity — Same as Bodal/Bhageria),"Commodity dye intermediates, commerce-background solo promoter, declining revenue, zero systems. The textile dye intermediate sector in Gujarat is filled with companies that look like specialty chemicals but are actually bulk commodity operators competing on price. Reject.",—,aksharchem.com; BSE filings FY25; screener.in,No
17,Safex Chemicals India,safexchemicals.com,"Ankleshwar, Gujarat",Custom Synthesis — Agrochemical Intermediates,Technical grade insecticides and fungicide intermediates. Specialty agrochemical synthesis for Indian and export markets.,Rs.50–100 Cr (est. — unlisted private),Promoter family,MD,Promoter-family-run company. Limited public information available.,PASS — Plant at Ankleshwar GIDC confirmed.,PASS — Ankleshwar Gujarat.,10 — Specialty agrochem intermediates with some technical synthesis capability. Insufficient public data to verify differentiation depth.,0 — Insufficient public information on DM background or systems building evidence.,15 — Agrochem China+1. India specialty synthesis tailwind.,0 — No confirmable growth signals from public data.,0 — No systems evidence from public sources.,0 — No succession data.,25,D — Not ICP,FAIL (Insufficient Evidence),"Cannot score with evidence — no verifiable public data on any criterion beyond basic existence. Per methodology: if uncertain about source, omit. Reject pending better research or direct outreach verification.",—,Attempted: no verifiable public data found sufficient to score,No
18,Sudev Industries,sudev.com,"Vapi, Gujarat",Custom Synthesis — Specialty Chemicals,Specialty chemical intermediates for pharma/agrochem. Vapi GIDC cluster operator.,Rs.50–100 Cr (est. unlisted),Promoter family,MD,Limited public information.,PASS — Vapi GIDC plant inferred.,PASS — Vapi Gujarat.,10 — Some specialty synthesis in Vapi cluster but no public data to verify differentiation.,0 — No verifiable data.,15 — Pharma/agrochem tailwind.,0 — No data.,0 — No data.,0 — No data.,25,D — Not ICP,FAIL (Insufficient Evidence),No website with verifiable content. No BSE filing. No LinkedIn data sufficient to verify any criterion. Reject on evidence grounds.,—,No verifiable public data,No
19,Tagros Chemicals India,tagros.com,"Ankleshwar, Gujarat (parent HQ: Chennai)",Custom Synthesis — Agrochem Intermediates,Specialty agrochemical intermediates and technical grades. Ankleshwar GIDC plant.,Rs.50–100 Cr (est. unlisted — listed in Narmada Cleantech GIDC directory),Tamil Nadu promoter group,CMD,South India-based promoter group with Ankleshwar plant. Limited public DM information.,PASS — Ankleshwar GIDC plant confirmed from Narmada Cleantech directory.,PARTIAL — Ankleshwar Gujarat plant confirmed. Appears to be a subsidiary of a Tamil Nadu promoter group. Gujarat plant qualifies; HQ Chennai.,15 — Some specialty agrochem synthesis. Ankleshwar cluster implies reasonable chemistry capability. But limited public data on differentiation depth.,0 — No verifiable DM credentials. Parent appears to be a Tamil Nadu group.,15 — Agrochem tailwind. Ankleshwar cluster.,0 — No confirmable growth signals.,0 — No systems evidence.,0 — Subsidiary of out-of-state group — Federer succession dynamic unlikely.,30,D — Not ICP,FAIL (Subsidiary + Insufficient Data),Subsidiary of a Tamil Nadu group with a Gujarat plant — not an independent promoter-driven company. Fails the Federer test on ownership structure. Reject.,—,Narmada Cleantech GIDC directory; limited web research,No
20,Aarti Industries,aartiindustries.com,"Vapi / Ankleshwar, Gujarat",Custom Synthesis & Specialty Chemicals,"Benzene-based derivatives: nitrobenzene, aniline, chlorobenzenes. Pharma and agrochem intermediates. CDMO with 10+ year contracts.","~Rs.7,000 Cr FY25 — AUTO-DISQUALIFIED",Rajendra Gogri,Chairman & MD,Chemical engineer from ICT Mumbai (UDCT). Founder and executive chairman.,PASS — 10+ manufacturing plants across Gujarat.,PASS — Manufacturing in Vapi and Ankleshwar Gujarat.,20 — DSIR R&D. 10+ year CDMO contracts. 100+ products. Process patents.,15 — ICT Mumbai chemical engineer founder. Gen-2 Renil Gogri is Joint MD.,15 — CDMO tailwind. China+1. Benzene chemistry serves pharma + agrochem.,15 — Revenue guidance 15% CAGR. Active CAPEX Rs.2000 Cr.,20 — SAP S/4HANA. Multiple ISO certifications.,15 — Gen-2 Renil Gogri is Joint MD. Multiple professional CXOs.,100,A — Strong Federer,"AUTO-DISQUALIFY (Revenue ~Rs.7,000 Cr)","Revenue ~Rs.7,000 Cr FY25 — dramatically above ceiling. Would score 100/100 on all criteria. Key lesson: Aarti was in ICP range 10 years ago but grew rapidly. ALWAYS check CURRENT revenue from latest BSE filing.",—,aartiindustries.com; BSE annual report FY25,N/A — Auto-Disqualified
21,Anupam Rasayan India,anupamrasayan.com,"Surat, Gujarat",Custom Synthesis & Specialty Chemicals,"Custom synthesis for 29 global MNCs: agrochem, pharma intermediates, polymer additives. Long-term LOI contracts.","~Rs.1,448 Cr FY25 — AUTO-DISQUALIFIED",Anand Desai,MD,Chemical engineer founder. Built ARIL over 35+ years.,PASS — Six manufacturing facilities in Gujarat.,PASS — HQ Surat Gujarat.,20 — Long-term CSM contracts with global MNCs. Fluorination capabilities. DSIR R&D.,15 — Chemical engineer founder. Rs.922 Cr LOI with Korean MNC signed Mar 2025.,15 — Agrochem China+1. Pharma tailwind. Fluorination pipeline.,"15 — FY25 revenue Rs.1,448 Cr. FY26 guidance 30–35% growth.",20 — BSE-listed. Systematic documentation for MNC audits.,15 — Anand Desai + professional management building.,100,A — Strong Federer,"AUTO-DISQUALIFY (Revenue Rs.1,448 Cr)","Revenue Rs.1,448 Cr FY25 — nearly 3x above ceiling. Perfect Federer profile. Rs.922 Cr 10-year LOI alone confirms scale mismatch. In 2019-2020 Anupam Rasayan WAS in ICP range — shows how fast Gujarat specialty chemical companies escape the band.",—,anupamrasayan.com; BSE annual report FY25,N/A — Auto-Disqualified
22,Aether Industries,aether.co.in,"Surat, Gujarat",Custom Synthesis & Specialty Chemicals,"Advanced intermediates for pharma (48% revenue), agrochem (23%), material science, coatings. Complex differentiated chemistry.",~Rs.838 Cr FY25 — AUTO-DISQUALIFIED,Ashwin Desai,Founder & MD,B.E. Chemical Engineering from ICT Mumbai. Four Desai family members are co-founders with active operational roles.,PASS — Plants at GIDC Sachin (Surat). Multiple production blocks.,PASS — HQ and manufacturing in Surat Gujarat.,20 — Complex differentiated chemistry for global pharma/agrochem. Proprietary process development. 44% revenue CAGR FY18-23.,15 — ICT Mumbai chemical engineer founder. All 4 Desai family members are co-founding operators.,15 — Pharma CDMO tailwind. Specialty agrochem. Multiple end-markets.,15 — FY25 revenue Rs.838 Cr (+40% YoY). PAT Rs.158 Cr (+92% YoY).,20 — BSE-listed. ESOP scheme. Structured quarterly IR. Quality systems for global innovator pharma customers.,15 — Four co-founding Desai family members all active. Near-perfect succession.,100,A — Strong Federer,AUTO-DISQUALIFY (Revenue Rs.838 Cr),"Revenue Rs.838 Cr FY25 — above Rs.500 Cr ceiling. Would score 100/100 — textbook Federer with ICT founder, multi-family founding team, pharma CDMO moat, 40% revenue growth. Aether was in ICP range in FY21-22 (Rs.450 Cr) but grew past it. Most instructive revenue ceiling disqualification in this Gujarat batch.",—,aether.co.in; BSE FY25 annual report; Business Standard FY25 results,N/A — Auto-Disqualified
23,Ami Organics (Acutaas Chemicals),acutaas.in,"Surat, Gujarat",Custom Synthesis & Specialty Chemicals,Advanced pharma intermediates. Electrolyte additives for Li-ion batteries. USFDA approved. CDMO for global innovators.,"~Rs.1,000+ Cr FY25 — AUTO-DISQUALIFIED",Naresh Patel,Chairman & MD,B.E. Chemical Engineering from Gujarat University. Co-founder with 20+ years building process patents.,PASS — Three facilities: Sachin-Surat + Ankleshwar + Jhagadia.,PASS — HQ Surat Gujarat.,20 — 10+ process patents. 50–90% market share in several pharma intermediates. USFDA approved.,15 — B.E. Chemical Engineering founder. Process patents built from scratch.,15 — CDMO pharma tailwind. Li-ion EV tailwind. 500+ customers in 45 countries.,"15 — Rs.1,000+ Cr FY25 (+35% guidance). CDMO pipeline strong.",20 — Large structured organisation. USFDA compliance.,15 — Naresh Patel + Chetan Vaghasia co-founders. Professional WTD-level management.,100,A — Strong Federer,"AUTO-DISQUALIFY (Revenue Rs.1,000+ Cr)","Revenue crossed Rs.1,000 Cr in FY25 — dramatically above ceiling. Would score 100/100. Critical lesson: Ami Organics was in ICP range in FY18-21 but grew 10x in 5 years. Gujarat specialty chemical companies can escape the band extremely fast.",—,acutaas.in; BSE FY25 annual report,N/A — Auto-Disqualified
24,Fine Organic Industries,fineorganics.com,"Ambernath, MAHARASHTRA — City disqualification",Custom Synthesis & Specialty Chemicals — Oleochemicals,"Oleochemical-based specialty additives — slip agents, anti-blocking agents, lubricants, emulsifiers for plastics/rubber/food/cosmetics. India's only manufacturer of several oleochemical additives.",Rs.300–500 Cr (Rs.480 Cr FY25),Mukesh Shah,CMD,Chemical engineer founder. Sons Tushar and Jayen Shah are Executive Directors.,PASS — Plant at Ambernath Maharashtra.,"FAIL — Maharashtra, not Gujarat. City disqualification.",20 — Only Indian manufacturer of multiple oleochemical additives. EU-GMP. Exports 75+ countries. DSIR R&D. Process patents.,15 — Chemical engineer founder with 35 years domain expertise. Classic gen-2 succession.,15 — Oleochemical additives demand globally.,15 — Revenue growing. New products. Active hiring.,20 — SAP confirmed. ISO. Structured quality systems.,15 — Gen-2 sons Tushar and Jayen as EDs.,100,A — Strong Federer,AUTO-DISQUALIFY (City — Maharashtra),"Perfect Federer profile — only Indian manufacturer of several additives, science-founder, gen-2 succession, SAP, DSIR, EU-GMP. Ambernath Maharashtra disqualifies. Documented to demonstrate city discipline.",—,fineorganics.com; BSE annual report,N/A — Auto-Disqualified
25,Alkali Metals Limited,alkalimetals.com,"Hyderabad, TELANGANA — City disqualification",Custom Synthesis — Specialty Heterocyclics,Niche tetrazole and pyridine derivative chemistry. Specialty sodium and potassium metal derivatives for pharma and agrochem.,Rs.50–100 Cr (Rs.82 Cr),Y.S.R. Venkata Rao,MD (Gen-2),"B.E. Mechanical + Fellow IEI. Board includes Dr. J.S. Yadav (former Director, IICT Hyderabad).",PASS — Manufacturing in Hyderabad and Vizag.,"FAIL — Hyderabad Telangana, not Gujarat. City disqualification.",20 — Niche tetrazole/pyridine chemistry. USFDA-approved Vizag unit. Deep accumulated process knowledge.,15 — Gen-2 MD. Board includes Dr. J.S. Yadav (former Director IICT Hyderabad) — serious technical governance.,15 — Specialty chemicals China+1. Pharma supply chain diversification.,15 — Revenue Rs.82 Cr growing. USFDA approval signals deliberate regulated export pivot.,10 — Some systems.,8 — Gen-2 MD.,83,A — Strong Federer,AUTO-DISQUALIFY (City — Telangana),"Strong Federer profile. Gen-2 technical MD, niche chemistry, USFDA-approved manufacturing, eminent board. But Hyderabad Telangana disqualifies from this Gujarat-focused ICP exercise. Documented for city discipline.",—,alkalimetals.com; BSE filings; USFDA facility approval database,N/A — Auto-Disqualified
